date,close,open,high,low,volume,s,RSI
2016-11-29,203.91,203.91,203.91,203.91,0,ok,100.0
2016-11-30,203.91,203.91,203.91,203.91,0,ok,100.0
2016-12-01,203.91,203.91,203.91,203.91,0,ok,100.0
2016-12-04,203.91,203.91,203.91,203.91,0,ok,100.0
2016-12-05,203.91,203.91,203.91,203.91,0,ok,100.0
2016-12-06,203.91,203.91,203.91,203.91,0,ok,100.0
2016-12-07,203.91,203.91,203.91,203.91,0,ok,100.0
2016-12-08,203.91,203.91,203.91,203.91,0,ok,100.0
2016-12-11,203.91,203.91,203.91,203.91,0,ok,
2016-12-12,203.91,203.91,203.91,203.91,0,ok,
2016-12-14,203.91,203.91,203.91,203.91,0,ok,
2016-12-15,203.91,203.91,203.91,203.91,0,ok,
2016-12-18,203.91,203.91,203.91,203.91,0,ok,
2016-12-19,203.91,203.91,203.91,203.91,0,ok,
2016-12-20,203.91,203.91,203.91,203.91,0,ok,
2016-12-21,205.03,203.91,205.03,204.47,8507,ok,100.0
2016-12-22,205.03,205.03,205.03,205.03,0,ok,100.0
2016-12-26,205.03,205.03,205.03,205.03,0,ok,100.0
2016-12-27,205.03,205.03,205.03,205.03,0,ok,100.0
2016-12-28,205.03,205.03,205.03,205.03,0,ok,100.0
2016-12-29,205.03,205.03,205.03,205.03,0,ok,100.0
2017-01-01,205.03,205.03,205.03,205.03,0,ok,100.0
2017-01-02,205.03,205.03,205.03,205.03,0,ok,100.0
2017-01-03,205.03,205.03,205.03,205.03,0,ok,100.0
2017-01-04,205.03,205.03,205.03,205.03,0,ok,100.0
2017-01-05,205.03,205.03,205.03,205.03,0,ok,100.0
2017-01-08,205.03,205.03,205.03,205.03,0,ok,100.0
2017-01-09,205.03,205.03,205.03,205.03,0,ok,100.0
2017-01-10,205.03,205.03,205.03,205.03,0,ok,100.0
2017-01-11,205.03,205.03,205.03,205.03,0,ok,
2017-01-12,205.03,205.03,205.03,205.03,0,ok,
2017-01-15,205.03,205.03,205.03,205.03,0,ok,
2017-01-16,205.03,205.03,205.03,205.03,0,ok,
2017-01-17,205.03,205.03,205.03,205.03,0,ok,
2017-01-18,205.03,205.03,205.03,205.03,0,ok,
2017-01-19,206.16,205.03,206.16,205.6,26485,ok,100.0
2017-01-22,206.16,206.16,206.16,206.16,0,ok,100.0
2017-01-23,206.16,206.16,206.16,206.16,0,ok,100.0
2017-01-24,206.16,206.16,206.16,206.16,0,ok,100.0
2017-01-25,206.16,206.16,206.16,206.16,0,ok,100.0
2017-01-26,206.16,206.16,206.16,206.16,0,ok,100.0
2017-01-30,206.16,206.16,206.16,206.16,0,ok,100.0
2017-01-31,206.16,206.16,206.16,206.16,0,ok,100.0
2017-02-01,206.16,206.16,206.16,206.16,0,ok,100.0
2017-02-02,206.16,206.16,206.16,206.16,0,ok,100.0
2017-02-05,206.16,206.16,206.16,206.16,0,ok,100.0
2017-02-06,206.16,206.16,206.16,206.16,0,ok,100.0
2017-02-07,206.16,206.16,206.16,206.16,0,ok,100.0
2017-02-08,206.16,206.16,206.16,206.16,0,ok,100.0
2017-02-09,206.16,206.16,206.16,206.16,0,ok,
2017-02-12,206.16,206.16,206.16,206.16,0,ok,
2017-02-13,206.16,206.16,206.16,206.16,0,ok,
2017-02-14,206.16,206.16,206.16,206.16,0,ok,
2017-02-15,206.16,206.16,206.16,206.16,0,ok,
2017-02-16,206.16,206.16,206.16,206.16,0,ok,
2017-02-19,206.16,206.16,206.16,206.16,0,ok,
2017-02-20,206.16,206.16,206.16,206.16,0,ok,
2017-02-21,206.16,206.16,206.16,206.16,0,ok,
2017-02-22,206.16,206.16,206.16,206.16,0,ok,
2017-02-23,206.16,206.16,206.16,206.16,0,ok,
2017-02-26,206.16,206.16,206.16,206.16,0,ok,
2017-02-28,206.16,206.16,206.16,206.16,0,ok,
2017-03-01,206.16,206.16,206.16,206.16,0,ok,
2017-03-02,206.16,206.16,206.16,206.16,0,ok,
2017-03-05,206.16,206.16,206.16,206.16,0,ok,
2017-03-06,206.16,206.16,206.16,206.16,0,ok,
2017-03-07,206.16,206.16,206.16,206.16,0,ok,
2017-03-09,206.16,206.16,206.16,206.16,0,ok,
2017-03-13,206.16,206.16,206.16,206.16,0,ok,
2017-03-14,206.16,206.16,206.16,206.16,0,ok,
2017-03-15,206.16,206.16,206.16,206.16,0,ok,
2017-03-16,206.16,206.16,206.16,206.16,0,ok,
2017-03-19,206.16,206.16,206.16,206.16,0,ok,
2017-03-20,206.16,206.16,206.16,206.16,0,ok,
2017-03-21,206.16,206.16,206.16,206.16,0,ok,
2017-03-22,206.16,206.16,206.16,206.16,0,ok,
2017-03-23,206.16,206.16,206.16,206.16,0,ok,
2017-03-26,206.16,206.16,206.16,206.16,0,ok,
2017-03-28,206.16,206.16,206.16,206.16,0,ok,
2017-03-29,207.84,206.16,207.84,206.72,4299920,ok,100.0
2017-03-30,207.84,207.84,207.84,207.84,0,ok,100.0
2017-04-02,207.84,207.84,207.84,207.84,0,ok,100.0
2017-04-03,209.25,207.84,209.25,208.54,41710,ok,100.0
2017-04-04,209.25,209.25,209.25,209.25,0,ok,100.0
2017-04-06,209.25,209.25,209.25,209.25,0,ok,100.0
2017-04-09,209.25,209.25,209.25,209.25,0,ok,100.0
2017-04-10,209.25,209.25,209.25,209.25,0,ok,100.0
2017-04-11,209.25,209.25,209.25,209.25,0,ok,100.0
2017-04-12,209.25,209.25,209.25,209.25,0,ok,100.0
2017-04-13,209.25,209.25,209.25,209.25,0,ok,100.0
2017-04-16,209.25,209.25,209.25,209.25,0,ok,100.0
2017-04-18,209.25,209.25,209.25,209.25,0,ok,100.0
2017-04-19,209.25,209.25,209.25,209.25,0,ok,100.0
2017-04-20,209.25,209.25,209.25,209.25,0,ok,100.0
2017-04-23,209.25,209.25,209.25,209.25,0,ok,100.0
2017-04-24,209.25,209.25,209.25,209.25,0,ok,100.0
2017-04-25,211.35,209.25,211.35,209.95,153622,ok,100.0
2017-04-26,211.35,211.35,211.35,211.35,0,ok,100.0
2017-04-27,211.35,211.35,211.35,211.35,0,ok,100.0
2017-04-30,211.35,211.35,211.35,211.35,0,ok,100.0
2017-05-02,211.35,211.35,211.35,211.35,0,ok,100.0
2017-05-03,211.35,211.35,211.35,211.35,0,ok,100.0
2017-05-04,211.35,211.35,211.35,211.35,0,ok,100.0
2017-05-07,211.35,211.35,211.35,211.35,0,ok,100.0
2017-05-08,211.35,211.35,211.35,211.35,0,ok,100.0
2017-05-09,211.35,211.35,211.35,211.35,0,ok,100.0
2017-05-11,212.76,211.35,212.76,212.05,90898,ok,100.0
2017-05-15,212.76,212.76,212.76,212.76,0,ok,100.0
2017-05-16,212.76,212.76,212.76,212.76,0,ok,100.0
2017-05-17,212.76,212.76,212.76,212.76,0,ok,100.0
2017-05-18,212.76,212.76,212.76,212.76,0,ok,100.0
2017-05-21,212.76,212.76,212.76,212.76,0,ok,100.0
2017-05-22,212.76,212.76,212.76,212.76,0,ok,100.0
2017-05-23,212.76,212.76,212.76,212.76,0,ok,100.0
2017-05-24,212.76,212.76,212.76,212.76,0,ok,100.0
2017-05-28,212.76,212.76,212.76,212.76,0,ok,100.0
2017-05-30,212.76,212.76,212.76,212.76,0,ok,100.0
2017-05-31,212.76,212.76,212.76,212.76,0,ok,100.0
2017-06-01,212.76,212.76,212.76,212.76,0,ok,100.0
2017-06-04,212.76,212.76,212.76,212.76,0,ok,100.0
2017-06-05,212.76,212.76,212.76,212.76,0,ok,
2017-06-06,212.76,212.76,212.76,212.76,0,ok,
2017-06-07,212.76,212.76,212.76,212.76,0,ok,
2017-06-08,212.76,212.76,212.76,212.76,0,ok,
2017-06-11,212.76,212.76,212.76,212.76,0,ok,
2017-06-12,212.76,212.76,212.76,212.76,0,ok,
2017-06-13,212.76,212.76,212.76,212.76,0,ok,
2017-06-14,212.76,212.76,212.76,212.76,0,ok,
2017-06-15,212.76,212.76,212.76,212.76,0,ok,
2017-06-18,212.76,212.76,212.76,212.76,0,ok,
2017-06-19,212.76,212.76,212.76,212.76,0,ok,
2017-06-20,212.76,212.76,212.76,212.76,0,ok,
2017-06-21,212.76,212.76,212.76,212.76,0,ok,
2017-06-22,212.76,212.76,212.76,212.76,0,ok,
2017-06-25,212.76,212.76,212.76,212.76,0,ok,
2017-06-27,212.76,212.76,212.76,212.76,0,ok,
2017-06-28,212.76,212.76,212.76,212.76,0,ok,
2017-07-02,212.76,212.76,212.76,212.76,0,ok,
2017-07-03,212.76,212.76,212.76,212.76,0,ok,
2017-07-04,212.76,212.76,212.76,212.76,0,ok,
2017-07-05,212.76,212.76,212.76,212.76,0,ok,
2017-07-06,212.76,212.76,212.76,212.76,0,ok,
2017-07-09,212.76,212.76,212.76,212.76,0,ok,
2017-07-10,212.76,212.76,212.76,212.76,0,ok,
2017-07-11,212.76,212.76,212.76,212.76,0,ok,
2017-07-12,212.76,212.76,212.76,212.76,0,ok,
2017-07-13,212.76,212.76,212.76,212.76,0,ok,
2017-07-16,212.76,212.76,212.76,212.76,0,ok,
2017-07-17,212.76,212.76,212.76,212.76,0,ok,
2017-07-18,212.76,212.76,212.76,212.76,0,ok,
2017-07-19,212.76,212.76,212.76,212.76,0,ok,
2017-07-20,212.76,212.76,212.76,212.76,0,ok,
2017-07-23,212.76,212.76,212.76,212.76,0,ok,
2017-07-24,212.76,212.76,212.76,212.76,0,ok,
2017-07-25,214.11,212.76,214.11,213.43,368714,ok,100.0
2017-07-26,214.11,214.11,214.11,214.11,0,ok,100.0
2017-07-27,214.11,214.11,214.11,214.11,0,ok,100.0
2017-07-30,214.11,214.11,214.11,214.11,0,ok,100.0
2017-07-31,214.11,214.11,214.11,214.11,0,ok,100.0
2017-08-01,214.11,214.11,214.11,214.11,0,ok,100.0
2017-08-02,214.11,214.11,214.11,214.11,0,ok,100.0
2017-08-03,214.11,214.11,214.11,214.11,0,ok,100.0
2017-08-06,214.11,214.11,214.11,214.11,0,ok,100.0
2017-08-07,214.11,214.11,214.11,214.11,0,ok,100.0
2017-08-09,214.11,214.11,214.11,214.11,0,ok,100.0
2017-08-10,214.11,214.11,214.11,214.11,0,ok,100.0
2017-08-13,214.11,214.11,214.11,214.11,0,ok,100.0
2017-08-15,214.11,214.11,214.11,214.11,0,ok,100.0
2017-08-16,214.11,214.11,214.11,214.11,0,ok,
2017-08-17,214.11,214.11,214.11,214.11,0,ok,
2017-08-20,214.11,214.11,214.11,214.11,0,ok,
2017-08-21,214.11,214.11,214.11,214.11,0,ok,
2017-08-22,214.11,214.11,214.11,214.11,0,ok,
2017-08-23,214.11,214.11,214.11,214.11,0,ok,
2017-08-24,214.11,214.11,214.11,214.11,0,ok,
2017-08-27,214.11,214.11,214.11,214.11,0,ok,
2017-08-28,214.11,214.11,214.11,214.11,0,ok,
2017-08-30,214.11,214.11,214.11,214.11,0,ok,
2017-08-31,214.11,214.11,214.11,214.11,0,ok,
2017-09-04,214.11,214.11,214.11,214.11,0,ok,
2017-09-06,214.11,214.11,214.11,214.11,0,ok,
2017-09-07,214.11,214.11,214.11,214.11,0,ok,
2017-09-10,214.11,214.11,214.11,214.11,0,ok,
2017-09-11,214.11,214.11,214.11,214.11,0,ok,
2017-09-12,214.11,214.11,214.11,214.11,0,ok,
2017-09-13,214.11,214.11,214.11,214.11,0,ok,
2017-09-14,231.25,214.11,231.25,211.57,500184000,ok,100.0
2017-09-17,250.08,231.25,250.08,234.97,118380,ok,100.0
2017-09-18,270.78,250.08,270.78,254.22,3398460,ok,100.0
2017-09-20,293.58,270.78,293.58,272.38,17227400,ok,100.0
2017-09-24,278.29,293.58,298.56,278.29,2208160,ok,83.8644997889405
2017-09-25,254.73,278.29,277.87,254.73,1825820,ok,67.16531440162271
2017-09-26,233.95,254.73,250.51,233.53,4325520,ok,57.13156002875628
