,id,contractId,contractType,stockSymbol,buyerMemberId,sellerMemberId,contractQuantity,contractRate,contractAmount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,tradeTime,securityName
221,,2021053105001139,,SHL,26,51,100,241.0,24100.0,2021-05-31,30131942,147,Asian Securities Private Ltd.,Oxford Securities Pvt. Ltd.,2021-05-31T14:02:00.227438,Soaltee Hotel Limited
222,,2021053105001138,,SHL,14,22,127,240.0,30480.0,2021-05-31,30131321,147,Nepal Stock House (PVT) Ltd.,Siprabi Securities Pvt. Ltd.,2021-05-31T14:01:17.507179,Soaltee Hotel Limited
223,,2021053105001137,,SHL,58,51,100,241.0,24100.0,2021-05-31,30130678,147,Naasa Securities Co. Ltd.,Oxford Securities Pvt. Ltd.,2021-05-31T14:00:42.099629,Soaltee Hotel Limited
224,,2021053105001136,,SHL,14,36,100,240.0,24000.0,2021-05-31,30130415,147,Nepal Stock House (PVT) Ltd.,Secured Securities Ltd.,2021-05-31T14:00:16.677855,Soaltee Hotel Limited
225,,2021053105001135,,SHL,52,36,100,240.0,24000.0,2021-05-31,30130414,147,Sundhara Securities Limited,Secured Securities Ltd.,2021-05-31T14:00:16.677317,Soaltee Hotel Limited
226,,2021053105001134,,SHL,43,36,200,240.0,48000.0,2021-05-31,30130412,147,South Asian Bulls Pvt. Ltd.,Secured Securities Ltd.,2021-05-31T14:00:16.676759,Soaltee Hotel Limited
227,,2021053105001133,,SHL,21,36,100,240.0,24000.0,2021-05-31,30130410,147,Midas Stock Broking Company Private Limited,Secured Securities Ltd.,2021-05-31T14:00:16.676171,Soaltee Hotel Limited
228,,2021053105001132,,SHL,57,36,500,240.0,120000.0,2021-05-31,30130408,147,Aryatara Investment & Securities,Secured Securities Ltd.,2021-05-31T14:00:16.67568,Soaltee Hotel Limited
229,,2021053105001131,,SHL,26,36,400,240.0,96000.0,2021-05-31,30130406,147,Asian Securities Private Ltd.,Secured Securities Ltd.,2021-05-31T14:00:16.674907,Soaltee Hotel Limited
230,,2021053105001130,,SHL,49,51,100,241.0,24100.0,2021-05-31,30130308,147,Online Securities Pvt. Ltd.,Oxford Securities Pvt. Ltd.,2021-05-31T14:00:08.712956,Soaltee Hotel Limited
231,,2021053105001129,,SHL,26,55,100,240.0,24000.0,2021-05-31,30129955,147,Asian Securities Private Ltd.,Bhrikuti Stock Broking Co. Pvt. Ltd.,2021-05-31T13:59:37.61029,Soaltee Hotel Limited
232,,2021053105001128,,SHL,45,38,101,241.0,24341.0,2021-05-31,30129464,147,Imperial Securities Company Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2021-05-31T13:59:00.586925,Soaltee Hotel Limited
233,,2021053105001127,,SHL,59,38,200,241.0,48200.0,2021-05-31,30129038,147,Deevyaa Securities & Stock House Pvt. Ltd,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2021-05-31T13:58:32.269606,Soaltee Hotel Limited
234,,2021053105001126,,SHL,52,51,23,240.0,5520.0,2021-05-31,30128971,147,Sundhara Securities Limited,Oxford Securities Pvt. Ltd.,2021-05-31T13:58:25.886376,Soaltee Hotel Limited
235,,2021053105001125,,SHL,6,38,200,241.0,48200.0,2021-05-31,30128880,147,Agrawal Securities (PVT) Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2021-05-31T13:58:18.771477,Soaltee Hotel Limited
236,,2021053105001124,,KLBSL,58,16,200,1660.0,332000.0,2021-05-31,30128273,694,Naasa Securities Co. Ltd.,Primo Securities (PVT) Ltd.,2021-05-31T13:57:33.981517,Kisan Lagubitta Bittiya Sanstha Limited
237,,2021053105001123,,KLBSL,51,16,100,1662.0,166200.0,2021-05-31,30128272,694,Oxford Securities Pvt. Ltd.,Primo Securities (PVT) Ltd.,2021-05-31T13:57:33.981416,Kisan Lagubitta Bittiya Sanstha Limited
238,,2021053105001122,,KLBSL,56,16,115,1662.0,191130.0,2021-05-31,30128270,694,Sri Hari Securities Pvt. Ltd.,Primo Securities (PVT) Ltd.,2021-05-31T13:57:33.981169,Kisan Lagubitta Bittiya Sanstha Limited
239,,2021053105001121,,SHL,58,58,100,241.0,24100.0,2021-05-31,30128098,147,Naasa Securities Co. Ltd.,Naasa Securities Co. Ltd.,2021-05-31T13:57:14.50356,Soaltee Hotel Limited
240,,2021053105001120,,SHL,58,39,150,243.0,36450.0,2021-05-31,30128014,147,Naasa Securities Co. Ltd.,Sumeru Securities Pvt. Ltd.,2021-05-31T13:57:04.265524,Soaltee Hotel Limited
