date,adjclose,open,high,low,volume,other,RSI,stoch,stochsignal,rsidata,rsidata_k,rsidata_d,macd,macddiff,macdsignal
2018-03-21,1378.6,1427.12,1427.12,1372.71,44011400.0,ok,22.10986350018034,2.4990453561881587,2.922368330512345,0.0,0.1262137221230508,0.20835362104115154,-49.87839886724487,-4.679996142700027,-45.19840272454484
2018-03-22,1359.35,1378.6,1393.39,1334.32,39202500.0,ok,20.710232761322857,10.036489033241093,5.730230266323871,0.0,0.03643741053746948,0.12645613856236407,-53.93025887188105,-6.985484917868966,-46.944773954012085
2018-03-26,1283.83,1359.35,1360.07,1280.43,20928600.0,ok,16.340072841945442,1.328073122143613,4.621202503857622,0.0,0.0,0.05421704422017346,-63.791044581953656,-13.477016502353251,-50.314028079600405
2018-03-27,1349.33,1283.83,1350.84,1225.35,41354300.0,ok,30.1142319210266,40.322633102416496,17.229065085933733,0.7619741746291802,0.25399139154306005,0.0968096006935099,-61.75551261405417,-9.153187627563007,-52.60232498649116
2018-03-28,1320.24,1349.33,1360.79,1315.31,50190300.0,ok,27.915932448740108,30.861547468045696,24.170751230868603,0.6403662117498213,0.4674467954596671,0.24047939566757578,-62.05562600380131,-7.5626408138481125,-54.492985189953195
2018-03-29,1340.23,1320.24,1341.05,1314.29,39146200.0,ok,31.61045672458752,38.08387203712915,36.42268420253044,1.0,0.8007801287930004,0.5074061052652427,-58.50976301390301,-3.2134222591598487,-55.29634075474316
2018-04-01,1313.99,1320.24,1340.71,1312.15,23986300.0,ok,29.474917477276833,34.049091537663756,34.3315036809462,0.8601515676538971,0.8335059264679061,0.7005776169068579,-57.52917223042027,-1.7862651805416903,-55.74290704987858
2018-04-02,1308.73,1313.99,1317.08,1306.66,13937100.0,ok,29.051227807515332,33.73932747946428,35.29076368475239,0.8324057249155812,0.8975190975231593,0.843935050928022,-56.01520397935974,-0.21783754358492047,-55.79736643577482
2018-04-03,1310.87,1308.73,1316.2,1304.33,25640600.0,ok,29.495272037676514,34.60526848217535,34.13122916643446,0.86148451124956,0.8513472679396794,0.8607907639769149,-53.34764064580304,1.9597806319774307,-55.30742127778047
2018-04-04,1373.93,1310.87,1373.93,1311.16,38888200.0,ok,41.17803919266428,60.122202889167674,42.82226628360243,1.0,0.8979634120550471,0.882276592505962,-43.17950696715138,9.702331448503273,-52.881838415654656
2018-04-05,1409.38,1373.93,1411.29,1368.42,79202000.0,ok,46.54089499734457,74.466879779873,56.39811705040535,1.0,0.95382817041652,0.9010462834704156,-31.144636597536646,17.389761454494412,-48.53439805203106
2018-04-08,1495.04,1409.38,1516.69,1408.89,131452000.0,ok,56.79193549027236,92.56881993547056,75.71930086817041,1.0,1.0,0.9505971941571891,-12.53745124082684,28.797557448963374,-41.335008689790214
2018-04-09,1488.87,1495.04,1539.03,1483.28,127840000.0,ok,55.95957312496932,84.00918133129302,83.68162701554553,0.9794233859503754,0.9931411286501252,0.9823230996888818,-0.04921318579704348,33.02863640319454,-33.07784958899158
2018-04-10,1462.41,1488.87,1506.35,1459.43,45124500.0,ok,52.41188905388834,75.57383320581489,84.0506114908595,0.8917220085892589,0.9570484648465447,0.9833965311655567,5.645845548193847,30.978956109748346,-25.3331105615545
2018-04-11,1467.13,1462.41,1468.86,1439.35,36334700.0,ok,52.984485411564286,77.0785513899516,78.88718864235318,0.905877014568931,0.9256741363695218,0.9586212432887306,9.968210955688846,28.241057213794676,-18.27284625810583
2018-04-12,1477.84,1467.13,1497.27,1467.38,61401600.0,ok,54.32736880507638,80.49285896454984,77.71508118677211,0.9390740864859056,0.9122243698813651,0.9316489903658106,13.90038430023651,25.738584446673872,-11.838200146437362
2018-04-15,1489.58,1477.84,1489.67,1457.69,37872900.0,ok,55.817122315383244,84.23552665136442,80.60231233528862,0.9662414090521101,0.9370641700356489,0.9249875587621785,17.58014897547355,23.53467929752873,-5.954530322055181
2018-04-16,1561.69,1489.58,1568.82,1488.62,85755800.0,ok,63.65821700188777,97.30424590721772,87.34421050771066,1.0,0.9684384985126718,0.9392423461432285,27.70232828241592,26.92548688357688,0.7768413988390392
2018-04-17,1681.8,1561.69,1683.38,1561.97,206182000.0,ok,72.43367706375533,99.58316844743433,93.7076470020055,1.0,0.9887471363507032,0.9647499349663414,47.36192562345218,37.268067379690514,10.093858243761668
2018-04-18,1687.19,1681.8,1722.6,1664.09,157236992.0,ok,72.75165578731362,91.53417648887087,96.14053028117432,1.0,1.0,0.9857285449544584,60.38320463395985,40.231477112158544,20.151727521801305
