date,close,open,high,low,volume,s
2018-07-31,2210.07,2215.43,2221.25,2210.07,95185,ok
2018-08-01,2211.93,2210.07,2215.89,2211.93,101370,ok
2018-08-02,2213.1,2211.93,2217.75,2211.93,761180,ok
2018-08-05,2193.04,2213.1,2213.17,2187.22,1552520,ok
2018-08-06,2192.97,2193.04,2193.04,2192.97,270020,ok
2018-08-07,2167.55,2192.97,2182.59,2167.55,483100,ok
2018-08-08,2158.32,2167.55,2161.96,2158.32,240360,ok
2018-08-09,2158.32,2158.32,0.0,0.0,0,ok
2018-08-12,2094.74,2158.32,2152.5,2094.74,1145180,ok
2018-08-13,2099.31,2094.74,2101.69,2098.63,212700,ok
2018-08-14,2105.92,2099.31,2105.92,2064.54,1593000,ok
2018-08-15,2145.15,2105.92,2147.24,2107.55,3633080,ok
2018-08-16,2222.47,2145.15,2222.47,2152.79,14700000,ok
2018-08-19,2204.14,2222.47,2230.65,2196.76,1752110,ok
2018-08-20,2215.29,2204.14,2215.29,2189.86,8674400,ok
2018-08-21,2192.44,2215.29,2214.79,2190.03,907360,ok
2018-08-22,2194.64,2192.44,2200.7,2194.64,553900,ok
2018-08-23,2139.97,2194.64,2194.64,2139.97,869320,ok
2018-08-26,2154.14,2139.97,2154.14,2131.72,815830,ok
2018-08-28,2166.4,2154.14,2166.4,2145.75,728630,ok
2018-08-29,2149.34,2166.4,2157.8,2144.46,271360,ok
2018-08-30,2157.6,2149.34,2157.6,2157.53,372650,ok
2018-09-02,2156.85,2157.6,2156.85,2152.14,615530,ok
2018-09-03,2250.05,2156.85,2251.69,2180.25,1424100,ok
2018-09-04,2249.27,2250.05,2258.64,2245.72,1311090,ok
2018-09-05,2212.53,2249.27,2255.6,2212.53,4942240,ok
2018-09-06,2232.94,2212.53,2258.06,2205.71,4969170,ok
2018-09-09,2226.13,2232.94,2233.63,2226.13,384310,ok
2018-09-10,2250.81,2226.13,2256.86,2250.72,1316140,ok
2018-09-11,2275.51,2250.81,2288.23,2250.29,2592220,ok
2018-09-12,2272.83,2275.51,2281.56,2272.83,1790770,ok
2018-09-13,2274.89,2272.83,2281.22,2266.99,2996450,ok
2018-09-16,2301.4,2274.89,2301.4,2280.34,5264740,ok
2018-09-17,2325.91,2301.4,2330.58,2304.81,13422400,ok
2018-09-18,2334.03,2325.91,2354.49,2334.03,1136760,ok
2018-09-20,2328.52,2334.03,2341.09,2328.52,301700,ok
2018-09-23,2326.19,2328.52,2334.57,2324.8,1049830,ok
2018-09-25,2337.13,2326.19,2337.13,2325.03,907770,ok
2018-09-26,2319.38,2337.13,2333.87,2319.38,2208540,ok
2018-09-27,2345.85,2319.38,2351.44,2314.73,3814250,ok
2018-09-30,2310.59,2345.85,2349.57,2310.59,2969040,ok
2018-10-01,2337.39,2310.59,2338.09,2309.89,4856970,ok
2018-10-02,2331.71,2337.39,2354.15,2325.64,1679860,ok
2018-10-03,2325.19,2331.71,2325.42,2325.19,369050,ok
2018-10-04,2318.94,2325.19,2319.14,2309.8,357920,ok
2018-10-07,2321.53,2318.94,2324.06,2312.19,525170,ok
2018-10-08,2335.09,2321.53,2337.42,2323.63,13191400,ok
2018-10-09,2323.26,2335.09,2328.11,2318.84,1504710,ok
2018-10-10,2329.41,2323.26,2329.41,2316.51,2356500,ok
2018-10-11,2316.98,2329.41,2324.76,2313.57,1640000,ok
2018-10-14,2221.25,2316.98,2291.76,2198.13,3463200,ok
2018-10-15,2245.58,2221.25,2257.46,2226.39,2937830,ok
