date,adjclose,open,high,low,volume,other,RSI
1568505600,509,516,517,502,18418,ok,25.05917679239265
1568592000,495,510,510,495,19582,ok,21.77862833811928
1568678400,544,504,544,504,38629,ok,47.62327997375672
1568764800,589,554,593,544,109458,ok,60.52322901294299
1568851200,572,599,606,572,89374,ok,55.01107989522095
1569110400,543,583,583,540,32906,ok,47.12620051242958
1569196800,553,535,570,535,21656,ok,49.79828463343684
1569283200,547,558,559,543,18270,ok,48.22355934300947
1569456000,542,545,552,541,4810,ok,46.89279851579134
1569715200,531,541,541,528,16930,ok,44.01507194707304
1569801600,550,529,552,529,12778,ok,49.75115057421578
1569888000,520,540,540,515,82278,ok,42.36955552131361
1569974400,509,520,520,509,19982,ok,40.02462248226989
1570060800,513,507,523,500,18120,ok,41.29692210893495
1570665600,508,518,520,508,2520,ok,40.15035239178453
1571011200,508,508,509,501,12635,ok,40.15035239178453
1571097600,508,501,508,500,14422,ok,40.15035239178453
1571184000,494,498,498,491,7310,ok,36.59698455686427
1571270400,491,495,495,490,4964,ok,35.86450823839252
1571529600,488,490,493,486,4776,ok,35.10778614648525
1571616000,485,483,489,480,13595,ok,34.32777313464926
1571702400,485,483,485,480,6586,ok,34.32777313464926
1571788800,489,485,492,484,5640,ok,36.509086606208434
1571875200,493,496,496,489,8650,ok,38.70173601936177
1572480000,499,500,500,490,6195,ok,41.94069464211419
1572739200,485,491,491,484,4881,ok,37.02471158226168
1572825600,483,487,487,481,7355,ok,36.36888148037095
1572912000,485,482,499,482,4590,ok,37.55997917733817
1572998400,482,484,486,482,2449,ok,36.45757328122758
1573084800,480,482,488,480,6840,ok,35.70518691068958
1573344000,482,480,484,479,6690,ok,37.10305879866621
1573430400,495,480,502,478,15827,ok,45.41101988059159
1573516800,488,496,502,478,5847,ok,42.18019870669247
1573603200,482,486,486,481,3495,ok,39.58079310438018
1573689600,481,482,486,478,6275,ok,39.14777510713909
1573948800,433,473,479,433,91077,ok,25.00625633558909
1574035200,424,425,433,408,48812,ok,23.30626172623849
1574121600,425,417,425,417,4879,ok,23.925107439734305
1574208000,419,420,430,414,19960,ok,22.739504127970747
1574294400,410,412,417,405,12935,ok,21.054121280177355
1574553600,400,418,418,396,16263,ok,19.339003875154106
1574640000,400,404,404,392,13225,ok,19.339003875154106
1574726400,390,395,400,390,11960,ok,17.669630198784105
1574812800,399,391,402,390,12225,ok,24.02603363238663
1574899200,391,404,404,391,9550,ok,22.372553064941968
1574899200,391,404,404,391,9550,ok,22.372553064941968
1575158400,391,385,400,384,2764,ok,22.372553064941968
1575244800,389,390,391,387,5290,ok,21.901908515026605
1575331200,389,383,392,383,9630,ok,21.901908515026605
1575417600,384,391,394,384,10492,ok,20.64282102289509
1575504000,385,384,390,380,8767,ok,21.61339906258168
1575763200,380,378,392,378,9504,ok,20.27796255599897
1575849600,388,381,400,381,15822,ok,27.948852310031327
1575936000,384,390,394,380,11930,ok,26.57212379848464
1576022400,384,383,385,380,15525,ok,26.57212379848464
1576108800,380,384,385,377,23251,ok,25.13613142618462
1576368000,363,373,377,351,40263,ok,20.15174101009008
1576454400,355,363,365,351,22057,ok,18.311543973204422
1576540800,360,354,361,352,12152,ok,23.04166361493688
1576627200,355,353,362,351,19055,ok,21.68915877037466
1576713600,379,361,382,355,33500,ok,39.91916695921214
1576972800,416,386,416,373,118717,ok,56.66700762900378
1577059200,457,424,457,422,133065,ok,67.4836314897521
1577145600,445,466,493,441,219050,ok,62.561404787215295
1577232000,457,453,468,433,76856,ok,65.28803969662425
1577318400,449,466,466,440,32960,ok,62.04389707204811
1577577600,441,433,463,433,31059,ok,58.89244588183569
1577664000,466,449,475,435,109063,ok,64.89357330800183
1577750400,464,471,478,460,59228,ok,64.0875280960494
1577836800,468,460,472,460,32588,ok,65.02326059665523
1577923200,489,460,502,460,188130,ok,69.51429736480904
1578182400,490,497,509,484,113667,ok,69.71372189789741
1578268800,484,499,499,478,77045,ok,66.88651946444432
1578355200,477,484,490,475,34035,ok,63.64368040360308
1578441600,482,478,490,471,24790,ok,64.9508180761768
1578528000,477,482,490,476,30632,ok,62.529718906706925
