,adjclose,open,high,low,volume,other,RSI
851,270,265,270,261,1077,ok,49.44384995322877
852,267,275,275,265,1140,ok,47.57169347312509
853,260,264,264,256,1397,ok,43.43867015540104
854,257,260,257,252,800,ok,41.76400019257293
855,264,260,264,257,1970,ok,46.90737719390872
856,262,263,263,262,250,ok,45.66638209092012
857,265,260,265,260,167,ok,47.893271584414585
858,265,261,265,261,813,ok,47.893271584414585
859,266,265,266,260,1140,ok,48.70599866824335
860,262,262,262,262,100,ok,45.63954169210891
861,257,257,257,257,145,ok,42.073716901798015
862,262,257,262,262,20,ok,46.56937870460321
863,265,265,265,265,200,ok,49.12086714548082
864,256,260,260,251,1496,ok,42.55542143100775
865,258,261,261,258,99,ok,44.3359349613486
866,254,254,254,253,800,ok,41.561334862698494
867,249,251,254,249,1994,ok,38.33208489619829
868,244,245,248,241,3960,ok,35.37229994063503
869,244,242,246,242,180,ok,35.372299940635045
870,252,242,252,242,508,ok,43.47170229093641
871,256,252,262,253,2324,ok,47.04520604969384
872,251,252,255,250,878,ok,43.35569210802615
873,261,251,261,251,206,ok,51.54112717705797
874,266,266,266,266,500,ok,55.0395390323977
875,269,261,270,261,1688,ok,57.04338181840986
876,272,273,275,270,2540,ok,59.01075822223639
877,271,269,271,269,1775,ok,58.05627138535012
878,289,276,294,276,3412,ok,68.06822796097555
879,279,284,284,279,1108,ok,59.56206245708261
880,277,280,280,277,242,ok,58.00093256592899
881,267,279,279,267,2728,ok,50.82756183079982
882,267,266,267,262,1700,ok,50.82756183079982
883,272,272,272,272,20,ok,54.11811507646054
884,272,272,272,272,10,ok,54.11811507646053
885,299,277,299,277,15629,ok,67.66815982879133
886,307,300,322,289,9754,ok,70.45255175086186
887,293,307,304,293,3383,ok,60.614692979431545
888,290,295,302,290,1819,ok,58.72241191461385
889,288,285,293,285,697,ok,57.43511521799779
890,285,285,285,285,20,ok,55.47078270059718
891,290,285,290,285,410,ok,58.046170037973184
892,282,285,285,282,426,ok,52.78576725253173
893,280,280,280,275,1153,ok,51.52852820934768
894,278,278,278,278,10,ok,50.23988022247977
895,281,281,281,281,50,ok,52.172045663329214
896,283,283,283,283,200,ok,53.46921506564174
897,275,280,280,275,1233,ok,47.87581659507773
898,280,280,280,280,20,ok,51.30448595294023
899,278,277,280,276,779,ok,49.89080461561358
900,272,276,272,272,10,ok,45.812444352024364
901,280,272,280,270,1995,ok,51.50474401376679
902,278,280,284,278,4179,ok,50.08814214868634
