date,open,high,low,adjclose,volume,RSI,adjclose_5,true_adjclose_5,buy_profit,sell_profit
2019-03-31,714.0,717.0,707,712.0,7019,18.79509631,748.13226,732.0,36.13226318359375,0.0
2019-04-01,712.0,714.0,709,712.0,11973,18.79509631,751.3615,739.9999999999999,39.36151123046875,0.0
2019-04-02,712.0,718.0,710,717.0,15403,19.60929144,755.5963,743.0000000000001,38.5963134765625,0.0
2019-04-03,717.0,731.0,712,724.0,14196,20.77949748,761.21985,739.9999999999999,37.2198486328125,0.0
2019-04-04,724.0,728.0,718,727.0,8188,21.28498724,767.3243,736.0,40.32427978515625,0.0
2019-04-07,727.0,732.0,721,732.0,23725,22.11767236,774.07324,746.0,42.0732421875,0.0
2019-04-08,732.0,755.0,730,740.0,23599,23.48253081,781.77094,766.0,41.77093505859375,0.0
2019-04-09,740.0,750.0,740,743.0,12325,23.99820275,789.0412,773.0,46.04119873046875,0.0
2019-04-10,743.0,749.0,735,740.0,8232,22.41617128,794.6287,810.0000000000001,54.62872314453125,0.0
2019-04-11,740.0,743.0,736,736.0,7882,20.36380044,797.87286,866.0000000000001,61.87286376953125,0.0
2019-04-15,736.0,746.0,736,746.0,3377,21.69616452,800.2929,880.0000000000001,54.29290771484375,0.0
2019-04-16,746.0,773.0,747,766.0,6057,24.69708978,804.6412,881.0,38.64117431640625,0.0
2019-04-17,766.0,780.0,766,773.0,11183,25.85954562,810.8166,878.0,37.81658935546875,0.0
2019-04-18,773.0,810.0,785,810.0,15287,33.62837458,821.2852,880.0000000000001,11.28521728515625,0.0
2019-04-21,810.0,867.0,815,866.0,28899,58.20248617,842.67334,873.0,-23.32666015625,0.0
2019-04-22,866.0,900.0,868,880.0,29675,70.09304291,869.9233,868.0,0.0,10.07672119140625
2019-04-23,880.0,890.0,859,881.0,15000,71.05586908,893.21924,856.0,0.0,-12.21923828125
2019-04-24,881.0,894.0,864,878.0,6811,69.90423383,908.0922,847.0,0.0,-30.09222412109375
2019-04-25,878.0,895.0,877,880.0,9441,71.66951113,914.84216,834.9999999999999,0.0,-34.8421630859375
2019-04-28,880.0,891.0,873,873.0,9506,69.13649432,913.5045,851.0,0.0,-40.5045166015625
2019-04-29,873.0,880.0,866,868.0,8403,67.19083661,905.385,850.0,0.0,-37.385009765625
2019-04-30,868.0,871.0,851,856.0,7584,61.82802738,891.4813,845.9999999999999,0.0,-35.4813232421875
2019-05-02,856.0,855.0,845,847.0,6201,56.9245574,873.46643,841.0000000000001,0.0,-26.4664306640625
2019-05-05,847.0,844.0,830,835.0,9479,48.77810306,852.6668,841.0000000000001,17.66680908203125,0.0
2019-05-06,835.0,855.0,834,851.0,8355,63.6914028,837.81696,844.0,0.0,13.18304443359375
2019-05-07,851.0,869.0,850,850.0,8243,63.03551611,827.74945,848.0,0.0,22.25054931640625
2019-05-08,850.0,855.0,840,846.0,7578,60.37698217,819.5946,851.0,-26.4053955078125,0.0
2019-05-09,846.0,862.0,838,841.0,2950,56.76796843,812.1225,845.0,-28.87750244140625,0.0
2019-05-12,841.0,845.0,831,841.0,3539,56.76796843,805.54376,843.0,-35.45623779296875,0.0
2019-05-13,841.0,855.0,841,844.0,2652,59.57526878,801.46075,830.0,0.0,42.53924560546875
2019-05-14,844.0,850.0,837,848.0,3614,63.46074969,800.1406,840.0,0.0,47.859375
2019-05-15,848.0,860.0,844,851.0,5163,66.48034406,801.19775,841.0000000000001,0.0,49.80224609375
2019-05-16,851.0,858.0,845,845.0,6365,63.23120648,801.73425,841.0000000000001,0.0,43.2657470703125
2019-05-19,845.0,855.0,831,843.0,6356,62.09391566,801.07526,840.0,0.0,41.92474365234375
2019-05-20,843.0,849.0,830,830.0,5507,53.39282709,796.965,840.0,-33.03497314453125,0.0
2019-05-21,830.0,840.0,827,840.0,4169,63.86392543,794.6079,836.0,0.0,45.39208984375
2019-05-22,840.0,856.0,835,841.0,1981,65.04849866,794.0305,840.0,0.0,46.969482421875
2019-05-23,841.0,845.0,835,841.0,5508,65.04849866,793.7828,847.0,-47.21722412109375,0.0
2019-05-26,841.0,857.0,835,840.0,5463,64.48042494,793.47003,834.0,0.0,46.52996826171875
2019-05-27,840.0,840.0,835,840.0,2539,64.48042494,792.3349,833.0,0.0,47.66510009765625
2019-05-28,840.0,844.0,830,836.0,2822,62.37106128,790.1389,829.0,0.0,45.861083984375
2019-05-29,836.0,840.0,837,840.0,3151,66.01118854,788.4863,828.0,0.0,51.513671875
2019-05-30,840.0,882.0,847,847.0,9146,72.92756302,790.28186,826.0,0.0,56.7181396484375
2019-06-02,847.0,848.0,832,834.0,6077,66.95723894,789.9941,822.0,0.0,44.00592041015625
2019-06-03,834.0,835.0,830,833.0,2874,66.42841097,787.4267,820.0,0.0,45.57330322265625
2019-06-04,833.0,843.0,829,829.0,3935,64.30662792,783.3546,827.0000000000001,0.0,45.6453857421875
2019-06-06,829.0,832.0,826,828.0,4877,63.77514283,778.491,814.0,0.0,49.50897216796875
2019-06-10,828.0,842.0,820,826.0,4518,62.74491233,773.79736,816.0,0.0,52.20263671875
2019-06-11,826.0,826.0,820,822.0,8030,60.66749048,768.882,814.0,0.0,53.11798095703125
2019-06-12,822.0,823.0,815,820.0,8943,59.62212567,764.27734,814.0,0.0,55.72265625
