,adjclose,open,high,low,volume,rsi,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,williamr,ichibaseline,ichiconversionline,ichilinea,ichilineb,ema200,adjclose_3,true_adjclose_3,buy_profit,sell_profit
594.0,250,251,253,248,15688,56.24621612796388,43.75,0.1523525407872929,0.1015683605248615,0.0545762065973975,1.276440480739268,-1.2780301609914335,5.549744709288818,250.1,243.23268611461435,256.96731388538564,5.4916544465299015,256.53333333333336,246.3333333333333,4.0567413495956695,-56.25,244.5,252.5,220.0,248.5,235.4023068753736,252.38495,247.0,0.0,-2.38494873046875
599.0,245,246,247,242,36874,48.74588257230053,17.647058823529413,0.0,0.025801274526617,0.0258012745266171,-0.568301078537587,-1.3344586153945452,4.908818753387953,249.7,243.03366667496957,256.36633332503044,5.339474028858991,252.9333333333333,244.33333333333331,3.4589087008982298,-82.3529411764706,250.0,248.0,224.5,249.0,235.9285297294209,247.32938,244.0,0.0,-2.329376220703125
601.0,242,240,247,240,58042,44.29633105004608,15.0,0.0,0.0,0.0086004248422058,-1.427274939810303,-1.457424028150485,5.2161431902442414,249.2,241.18501403616864,257.21498596383134,6.432573004680056,250.9666666666667,242.36666666666665,3.4864864864865077,-85.0,249.0,246.0,226.5,247.5,236.04875388764623,244.96451,239.99999999999997,0.0,-2.964508056640625
606.0,246,247,247,245,52580,52.27317479030285,61.11111111111112,0.7620978666997559,0.5796115954210377,0.3436547482610341,-1.0905184275369777,-0.0348844124054532,5.4937203924073215,247.1,237.6999999999776,256.5000000000224,7.608255766914125,249.13333333333333,238.3333333333333,4.431072210065662,-38.888888888888886,247.0,241.5,237.0,244.25,236.3791969597825,242.60248,249.0,-3.39752197265625,0.0
610.0,249,253,253,248,53114,56.18947490094144,77.77777777777777,0.9999999999999996,0.9229570369802168,0.8627966533556256,0.3802698986502548,0.8662727936387733,5.080029949458444,245.8,239.42504901976287,252.1749509802371,5.187104133634734,249.86666666666665,239.26666666666665,4.334196538094587,-22.22222222222222,247.0,244.0,241.0,245.5,236.81574454726,246.84593,249.0,0.0,0.0
611.0,253,252,254,249,37244,61.38668785566151,94.73684210526316,1.0,0.9999999999999996,0.9317746180245292,1.0701582812539527,1.2449289409939768,5.0720269545126,246.0,239.0143003213404,252.9856996786596,5.6794306330565965,250.56666666666663,240.36666666666665,4.155350353068991,-5.2631578947368425,247.0,244.5,241.0,245.75,236.976781914949,248.64789,247.0,0.0,4.35211181640625
613.0,249,246,250,245,17183,54.28929242803592,60.869565217391305,0.6750394360288586,0.7626683791578327,0.8778856487686819,0.9798134854884212,0.7412817812023861,5.508341833155206,245.95,239.0659604881708,252.8340395118292,5.597917879104837,252.33333333333331,241.53333333333336,4.373650107991354,-39.130434782608695,247.0,248.5,241.0,247.75,237.20500830706905,250.31464,250.0,1.31463623046875,0.0
619.0,252,259,261,251,101804,55.18261105983019,50.0,0.4333758605783692,0.6460939380992532,0.7060402452775726,1.66951582726972,0.5375065276566529,6.405031692153836,247.35,238.3550013896377,256.3449986103623,7.273093681311758,258.2,245.0,5.2464228934817125,-50.0,248.0,253.0,244.0,250.5,238.03889203074047,253.52094,246.00000000000003,0.0,-1.52093505859375
620.0,251,253,253,250,29982,53.722335587291255,44.44444444444444,0.3000075351730716,0.5265494956702265,0.6313610047904222,1.4653127030511257,0.2666427227504468,6.064528522938452,247.8,239.0227566969795,256.5772433030205,7.084135030686439,258.1333333333333,245.33333333333331,5.084745762711857,-55.55555555555556,248.0,253.0,245.5,250.5,238.1678582791908,253.63028,248.0,0.0,-2.630279541015625
625.0,238,247,249,237,105435,37.76938763432006,4.166666666666667,0.0,0.0689339317013059,0.1010130780290626,-1.3095747739082242,-1.6221041660606192,6.442983447509926,248.75,241.37775475174524,256.1222452482547,5.927433365430948,255.73333333333332,243.53333333333336,4.887167846174384,-95.83333333333331,248.0,249.0,248.0,248.5,238.53754434422223,248.21173,248.0,10.21173095703125,0.0
