,adjclose,open,high,low,volume,other,RSI,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,WilliamR,adjclose_3,true_adjclose_3,buy_profit,sell_profit
116.0,499,505.0,499.0,489,1212,ok,51.62362066457517,50.0,0.5225308469331783,0.7150579151388015,0.7895433303060614,2.998968420003223,3.267699004652456,12.828739809759266,490.4,465.5050205864701,515.2949794135299,10.152927982679396,502.9666666666666,483.7666666666666,3.891628943990269,-50.0,502.4796,530.0,3.4796142578125,0.0
123.0,528,518.0,528.0,528,64,ok,58.69007682343099,86.0,0.7149784115111885,0.7432679302122712,0.8565651388017304,9.060572562191853,2.7360913783350185,11.252001081914448,501.95,462.58262772294734,541.3173722770526,15.68577439069734,525.1666666666666,509.5666666666666,3.015269634688491,-14.0,573.6147,554.0,45.61468505859375,0.0
125.0,565,538.0,565.0,540,3791,ok,68.56359933788669,100.0,1.0,0.8696577146270147,0.7736194952805029,13.393522506489036,5.068018330179628,13.254120876350704,509.1,462.1153216463065,556.0846783536936,18.457936890077995,531.8,516.2,2.977099236641204,-0.0,600.0104,539.0,0.0,-35.0103759765625
126.0,554,565.0,554.0,554,500,ok,63.600849945023874,85.8974358974359,0.7624874318604891,0.8854940547434481,0.821028203457562,14.190486880319554,4.691986163208117,13.02870878871563,512.8,463.94675036397234,561.6532496360276,19.05352949923074,536.6333333333334,523.0333333333334,2.5668449197861007,-14.102564102564102,606.73413,549.0,0.0,-52.734130859375
146.0,655,666.0,662.0,647,4841,ok,63.47260530258189,64.51612903225806,0.0,0.318848899914385,0.6145050928981483,28.58793373604749,-0.5458731959097101,19.966040086450928,612.2,509.0775485163401,715.32245148366,33.68913802145049,673.6666666666667,636.4666666666667,5.678811316914317,-35.483870967741936,720.60504,670.0,65.60504150390625,0.0
147.0,655,655.0,655.0,655,412,ok,63.47260530258189,57.69230769230769,0.0,0.0884647979849037,0.3531653103823355,24.94386156134476,-3.351956296489952,17.969436077805835,616.95,515.1394406262308,718.7605593737693,33.00447665897374,676.8333333333334,641.6333333333333,5.339535824442541,-42.30769230769231,719.3034,665.0,64.30340576171875,0.0
158.0,525,565.0,560.0,525,5167,ok,37.29522758584218,1.8633540372670807,0.116100325318273,0.1950755552425748,0.2087514611054872,-20.61805232025813,-11.755706577520602,23.902312234077403,620.25,503.2972317557222,737.2027682442779,37.71149318638544,585.4,567.6,3.087597571552464,-98.13664596273291,590.65656,558.0,65.65655517578125,0.0
162.0,535,558.0,547.0,535,1192,ok,40.8444293561134,8.074534161490684,0.2257301685033264,0.3062457350424254,0.2616773470578385,-18.78803223663931,-3.555310863270577,21.141307056778185,598.85,473.5467278958776,724.1532721041225,41.84796596948233,564.5333333333334,545.5333333333334,3.4232178247552705,-91.92546583850933,543.3249,540.0,8.32489013671875,0.0
173.0,505,510.0,510.0,505,418,ok,36.7806877630018,5.357142857142857,0.0,0.233474128549292,0.5285745766274889,-13.85219155065306,0.2335704922579964,13.854464365309289,539.45,500.2200369615302,578.67996303847,14.544429711176155,534.0,521.6,2.3493747631678623,-94.64285714285714,464.78903,531.0,-40.210968017578125,0.0
174.0,555,505.0,555.0,512,432,ok,51.23492806787288,94.64285714285714,1.0,0.3333333333333334,0.3778716412550836,-8.913511905266546,4.137800110115609,17.469017928778356,538.55,501.6855184493296,575.4144815506703,13.69027260260713,539.3666666666666,518.3666666666667,3.970755073742573,-5.357142857142857,488.04523,531.0,0.0,66.95477294921875
