date,adjclose,open,high,low,volume,other,RSI,stoch,stochsignal,rsidata,rsidata_k,rsidata_d,macd,macddiff,macdsignal,adjclose_5,true_adjclose_5,buy_profit,sell_profit
2020-11-26,2859.19,2889.34,2929.05,2856.33,433296000.0,ok,80.28879689,75.22519328,84.34394186,0.640142292,0.683863592,0.601703347,58.89594993,12.66327942,46.23267051,2786.589,3188.6099999999997,-72.60088867187505,0.0
2020-11-29,2886.94,2866.69,2886.94,2850.45,429070000.0,ok,82.02349674,85.06631676,86.36790256,0.776982684,0.805708325,0.6886388,63.47844947,13.79662317,49.6818263,2798.6,2964.43,-88.33990234375005,0.0
2020-11-30,2924.54,2887.75,2924.54,2887.75,553032000.0,ok,84.06926553,98.40059579,86.23070194,0.929903708,0.782342895,0.757304937,69.25700595,15.66014372,53.59686223,2817.8235,3091.9800000000005,-106.71651367187496,0.0
2020-12-01,2925.97,2929.02,2951.29,2910.12,485245000.0,ok,84.14317506,91.04762578,91.50484611,0.933881445,0.880255946,0.822769055,71.7008967,14.48322758,57.21766913,2833.744,3088.27,-92.2261035156248,0.0
2020-12-02,3158.54,2936.47,3158.54,2936.41,1056940000.0,ok,91.25180072,100.0,96.48274052,1.0,0.954595051,0.872397964,97.46121879,32.19483973,65.26637906,2892.0325,3018.46,0.0,266.50752929687496
2020-12-03,3188.61,3213.4,3324.15,3155.42,1044790000.0,ok,91.7657919,78.75182241,89.9331494,1.0,0.977960482,0.937603826,116.2054854,40.75128511,75.45420034,2960.7732,3019.25,0.0,227.83680664062513
2020-12-06,2964.43,3182.7,3182.7,2962.87,609496000.0,ok,62.35271349,42.70697289,73.81959844,0.0,0.666666667,0.8664074,101.3863245,20.74569931,80.64062516,2983.9634,3075.54,19.533378906250164,0.0
2020-12-07,3091.98,2959.14,3091.98,2959.14,628364000.0,ok,68.5326988,62.85814843,61.43898124,0.210110116,0.403370039,0.682665729,102.8098348,17.73536772,85.07446709,2993.595,3211.75,-98.38502929687502,0.0
2020-12-08,3088.27,3105.42,3160.81,3065.93,736252000.0,ok,68.18210655,60.67683588,55.41398573,0.198190512,0.136100209,0.402045638,100.8432534,12.61502908,88.22822436,3006.0525,3271.34,-82.21750976562498,0.0
2020-12-09,3018.46,3092.92,3101.17,3003.5,427798000.0,ok,61.77789069,48.30204634,57.27901021,0.0,0.136100209,0.225190152,89.23701809,0.807034981,88.42998311,2991.6987,3347.91,-26.761269531250036,0.0
2020-12-10,3019.25,3017.44,3042.71,2986.34,295928000.0,ok,61.82159331,48.1999966,52.39295961,0.001457342,0.066549284,0.112916568,79.09734876,-7.466107481,86.56345624,2965.0386,3357.1899999999996,-54.21142578125,0.0
2020-12-13,3075.54,3023.62,3075.54,3023.62,340318000.0,ok,64.90106107,57.76320484,51.42174926,0.104147681,0.035201674,0.079283723,76.38863048,-8.139860604,84.52849109,2943.0483,3186.93,-132.49166015624996,0.0
2020-12-14,3211.75,3078.34,3214.83,3078.34,785593000.0,ok,70.99726218,79.68882705,61.8840095,0.30743637,0.137680464,0.079810474,87.76424179,2.588600561,85.17564123,2956.8833,3293.98,-254.86669921875,0.0
2020-12-15,3271.34,3225.39,3288.26,3225.39,1045280000.0,ok,73.19104794,88.85159384,75.43454191,0.380592065,0.264058705,0.145646948,100.0829547,11.92585081,88.15710393,2998.8547,3263.05,0.0,272.48526367187515
2020-12-16,3347.91,3276.49,3372.48,3249.22,1168210000.0,ok,75.73127279,95.29337394,87.94459828,0.465300389,0.384442941,0.262060704,114.6361895,21.18326846,93.45292105,3054.1038,3225.11,0.0,293.80624023437485
2020-12-17,3357.19,3352.55,3432.56,3320.35,961410000.0,ok,76.02773909,86.16581928,90.10359569,0.475186586,0.44035968,0.362953776,122.8982731,23.55628162,99.34199145,3101.9456,3183.26,0.0,255.24444335937505
2020-12-21,3186.93,3143.76,3218.12,3015.47,742248000.0,ok,61.24518113,52.98407473,78.14775598,0.0,0.313495658,0.37943276,106.6580278,5.852829074,100.8051987,3111.395,3189.2,-75.53498046874984,0.0
2020-12-22,3293.98,3206.48,3293.98,3206.48,550183000.0,ok,65.75384683,72.06893077,70.40627492,0.147725278,0.207637288,0.320497542,104.6911168,3.108734461,101.5823823,3114.094,3200.57,0.0,179.88600585937502
2020-12-23,3263.05,3305.44,3359.01,3259.46,432840000.0,ok,63.45675623,64.19458409,63.08252986,0.072461692,0.073395657,0.198176201,97.30964458,-3.418190204,100.7278348,3109.3196,3285.6499999999996,-153.73041992187518,0.0
2020-12-24,3225.11,3265.27,3267.73,3211.78,378560000.0,ok,60.65749445,56.18055849,64.14802445,0.0,0.073395657,0.118142867,85.5881417,-12.11175447,97.69989617,3093.786,3285.83,-131.32411132812513,0.0
2020-12-27,3183.26,3218.58,3230.55,3171.74,362373000.0,ok,57.63718641,47.34062777,55.90525678,0.0,0.024153897,0.056981737,70.72109917,-21.5830376,92.30413677,3072.5376,3363.4300000000003,-110.72240234375022,0.0
2020-12-28,3189.2,3182.49,3205.38,3161.79,321801000.0,ok,57.95717488,45.46187979,49.66102202,0.017399611,0.00579987,0.034449808,59.35645004,-26.35814938,85.71459942,3047.3135,3358.6999999999994,-141.88652343749982,0.0
2020-12-29,3200.57,3195.4,3226.76,3194.7,379593000.0,ok,58.60177438,48.00995025,46.93748594,0.052450189,0.023283267,0.017745678,51.29715064,-27.53395903,78.83110967,3029.0996,3352.76,-171.47039062500016,0.0
2020-12-30,3285.65,3217.88,3285.65,3210.51,438654000.0,ok,63.15415244,67.07677827,53.51620277,0.299989137,0.123279646,0.050787594,53.91202634,-19.93526666,73.847293,3021.7236,3409.06,-263.9263671875001,0.0
2020-12-31,3285.83,3312.33,3337.81,3280.71,499587000.0,ok,63.16338168,64.82054233,59.96909028,0.300490984,0.217643437,0.121402117,54.4086805,-15.55089,69.9595705,3029.7944,3455.59,-256.0355664062499,0.0
