,adjclose,open,high,low,volume,other,RSI,adjclose_5,true_adjclose_5,buy_profit,sell_profit
1414.0,190,184,190,184,1508,ok,57.84479803172131,183.04631,181.0,0.0,6.9536895751953125
1415.0,190,192,192,189,1530,ok,57.84479803172131,184.3449,178.0,0.0,5.6551055908203125
1416.0,190,190,190,184,1391,ok,57.84479803172131,185.73041,176.0,0.0,4.26959228515625
1417.0,184,187,187,184,358,ok,51.75144003490808,186.2154,183.0,0.0,-2.21539306640625
1418.0,187,187,187,179,4650,ok,54.34126801986629,186.50758,178.0,0.0,0.4924163818359375
1419.0,181,185,185,181,2600,ok,48.70984687803061,185.94247,179.0,0.0,-4.942474365234375
1420.0,178,183,183,178,120,ok,46.13543771878214,184.6427,170.0,0.0,-6.6427001953125
1421.0,176,181,181,176,2860,ok,44.44882819619986,182.86975,177.0,6.8697509765625,0.0
1422.0,183,179,183,179,1562,ok,51.17645565065935,181.85887,178.0,0.0,1.1411285400390625
1423.0,178,180,180,177,3431,ok,46.81519361197867,180.78868,176.0,0.0,-2.7886810302734375
1424.0,179,178,180,178,864,ok,47.77381032732282,179.88844,178.0,0.0,-0.8884429931640625
1425.0,170,176,179,170,9600,ok,40.669061093146375,178.27887,189.0,8.27886962890625,0.0
1426.0,177,173,182,173,3276,ok,47.24102858905268,177.25061,189.0,0.2506103515625,0.0
1427.0,178,177,183,177,3294,ok,48.12504146694136,176.83208,189.0,-1.1679229736328125,0.0
1428.0,176,181,181,176,800,ok,46.44874460754458,176.5833,189.0,0.5832977294921875,0.0
1429.0,178,176,178,175,6349,ok,48.38490455905775,176.51938,189.0,-1.480621337890625,0.0
1430.0,189,180,190,178,7446,ok,57.48871457913037,177.97758,190.0,-11.022415161132812,0.0
1431.0,189,189,201,186,7032,ok,57.48871457913036,180.47714,181.0,0.0,8.522857666015625
1432.0,189,186,189,185,1064,ok,57.48871457913037,182.86938,177.0,0.0,6.130615234375
1433.0,189,192,195,188,4580,ok,57.48871457913037,185.17473,176.0,0.0,3.8252716064453125
1434.0,189,189,193,189,5844,ok,57.48871457913037,187.06758,175.0,0.0,1.9324188232421875
1435.0,190,189,191,186,5715,ok,58.453675644342376,188.5581,172.0,0.0,1.44189453125
1436.0,181,187,187,181,4250,ok,47.912648639810655,188.38696,180.0,0.0,-7.386962890625
1437.0,177,181,181,177,3231,ok,44.10577288755552,186.7209,172.0,0.0,-9.720901489257812
1438.0,176,177,180,176,1620,ok,43.18204007401757,184.3061,168.0,0.0,-8.306106567382812
1439.0,175,175,178,174,2729,ok,42.22956798880245,181.6274,170.0,0.0,-6.6273956298828125
1440.0,172,174,174,172,887,ok,39.42040993726398,178.70145,168.99999999999997,0.0,-6.701446533203125
1441.0,180,171,183,168,4888,ok,49.13701959797495,177.24956,168.99999999999997,0.0,2.7504425048828125
1442.0,172,179,179,172,6195,ok,41.89961087813244,175.88988,166.0,0.0,-3.8898773193359375
1443.0,168,172,172,168,5474,ok,38.82073139524717,174.05942,165.0,0.0,-6.059417724609375
1444.0,170,170,173,167,380,ok,41.14929991123261,172.4124,162.0,0.0,-2.4123992919921875
1445.0,169,173,173,167,1827,ok,40.3228982750556,170.99165,157.0,0.0,-1.9916534423828125
1446.0,169,169,170,163,2686,ok,40.3228982750556,169.70409,156.0,0.0,-0.7040863037109375
1447.0,166,166,167,164,3879,ok,37.68936868785758,168.17648,157.0,0.0,-2.176483154296875
1448.0,165,165,165,165,10,ok,36.82598417801262,166.49768,154.0,0.0,-1.4976806640625
1449.0,162,165,165,162,110,ok,34.288301581162315,164.62943,154.0,0.0,-2.629425048828125
1450.0,157,165,165,154,2234,ok,30.51416306888254,162.42387,156.0,0.0,-5.4238739013671875
1451.0,156,158,159,154,4363,ok,29.807500480181147,159.94649,157.0,3.9464874267578125,0.0
1452.0,157,153,159,153,5882,ok,31.515499484677832,157.6798,162.0,0.6797943115234375,0.0
1453.0,154,155,156,154,4656,ok,29.21850067421397,155.40886,162.0,1.4088592529296875,0.0
1454.0,154,155,156,154,4607,ok,29.21850067421396,153.36609,170.0,-0.6339111328125,0.0
1455.0,156,156,159,154,2359,ok,32.99444425846765,152.10843,175.0,-3.891571044921875,0.0
1456.0,157,155,160,155,1208,ok,34.865436279264216,151.57422,171.0,-5.42578125,0.0
1457.0,162,159,163,159,2697,ok,43.37869248267927,152.4127,167.0,-9.587295532226562,0.0
1458.0,162,162,162,161,1100,ok,43.37869248267926,153.80515,165.0,-8.194854736328125,0.0
1459.0,170,163,170,161,4950,ok,54.43079687691978,156.61156,170.0,0.0,0.0
1460.0,175,173,178,173,3518,ok,59.72246575491288,160.66048,170.0,0.0,14.339523315429688
1461.0,171,174,174,171,1150,ok,54.29092391278617,164.16437,170.0,0.0,6.83563232421875
1462.0,167,168,168,165,1502,ok,49.44788657630005,166.17973,166.0,0.0,0.8202667236328125
1463.0,165,170,170,164,508,ok,47.181584512633535,167.00116,168.0,2.00115966796875,0.0
1464.0,170,164,172,164,3081,ok,52.98318665198488,167.70729,165.0,0.0,2.2927093505859375
1465.0,170,170,172,170,638,ok,52.98318665198488,168.34393,167.0,0.0,1.65606689453125
1466.0,170,170,171,167,968,ok,52.98318665198487,168.85475,166.0,0.0,1.1452484130859375
1467.0,166,169,170,166,277,ok,47.7433309573493,168.67096,164.0,0.0,-2.67095947265625
1468.0,168,166,168,165,1165,ok,50.38540734207523,168.35562,166.0,0.0,-0.355621337890625
1469.0,165,166,168,165,1706,ok,46.58098878406333,167.626,162.0,0.0,-2.626007080078125
1470.0,167,163,167,162,1860,ok,49.32790733353794,167.00462,163.0,0.0,-0.0046234130859375
1471.0,166,169,169,164,1242,ok,47.99887459375236,166.52603,164.0,0.0,-0.526031494140625
1472.0,164,164,164,163,1153,ok,45.36624074864981,165.72685,162.0,0.0,-1.7268524169921875
1473.0,166,165,167,165,3954,ok,48.41330620385785,165.27054,162.0,0.0,0.729461669921875
1474.0,162,169,169,160,9089,ok,43.22132133875929,164.62372,161.0,0.0,-2.62371826171875
1475.0,163,164,165,163,3077,ok,44.81469207929295,163.93515,160.0,0.0,-0.935150146484375
1476.0,164,163,164,160,3858,ok,46.433551340879774,163.42786,160.0,0.0,0.5721435546875
1477.0,162,165,167,162,2724,ok,43.674090874262006,162.89905,160.0,0.0,-0.8990478515625
1478.0,162,160,162,159,3375,ok,43.67409087426201,162.23483,163.0,0.234832763671875,0.0
1479.0,161,159,162,160,1231,ok,42.21916364255392,161.41289,165.0,0.4128875732421875,0.0
1480.0,160,163,164,160,3077,ok,40.75697298704959,160.5889,164.0,0.588897705078125,0.0
1481.0,160,160,163,159,4439,ok,40.75697298704959,159.81404,167.0,-0.1859588623046875,0.0
1482.0,160,160,160,160,400,ok,40.75697298704959,159.07494,164.0,-0.9250640869140625,0.0
1483.0,163,162,163,160,802,ok,47.561805124088885,159.18616,163.0,0.0,0.0
1484.0,165,160,165,160,1139,ok,51.556716694731385,160.09741,163.0,0.0,4.902587890625
1485.0,164,166,166,163,934,ok,49.52511027642708,161.18962,167.0,-2.8103790283203125,0.0
1486.0,167,167,167,161,4774,ok,55.22534233231057,162.79868,168.0,-4.201324462890625,0.0
1487.0,164,170,170,164,1776,ok,49.237162212660735,163.9803,170.0,-0.0196990966796875,0.0
1488.0,163,164,166,161,1291,ok,47.39244834545022,164.43605,166.0,1.4360504150390625,0.0
1489.0,163,166,166,163,2338,ok,47.39244834545022,164.49124,170.0,1.491241455078125,0.0
1490.0,167,166,170,165,6777,ok,55.18208200770916,165.17789,167.0,0.0,0.0
1491.0,168,167,170,167,3774,ok,56.9002605092092,166.23761,172.0,-1.76239013671875,0.0
1492.0,170,170,177,168,9232,ok,60.18763554766562,167.88799,171.0,-2.1120147705078125,0.0
1493.0,166,167,168,166,1775,ok,51.69507827608625,168.52104,173.0,2.5210418701171875,0.0
1494.0,170,166,170,166,6854,ok,58.06701766826267,169.2318,173.0,-0.7682037353515625,0.0
